id,lastpage,randnumber,g1,g2,g3,g4,g5,g6,kontrolle,geschlecht,alter,sterbehilfe
71,7,6,,,,,,,,,,
72,2,1,,,,,,,,,,
73,12,4,,,,N,,,5,1,59,0
74,12,4,,,,Y,,,5,1,62,0
75,12,6,,,,,,Y,5,2,56,1
76,4,3,,,,,,,,,,
77,2,1,,,,,,,,,,
78,5,4,,,,,,,,,,
79,12,2,,Y,,,,,5,1,73,0
80,12,4,,,,Y,,,5,2,38,0
81,12,6,,,,,,Y,5,2,70,0
82,9,1,Y,,,,,,2,,,
83,12,5,,,,,Y,,5,2,61,0
84,12,6,,,,,,N,5,1,32,0
85,12,2,,Y,,,,,5,1,55,0
86,12,6,,,,,,Y,5,2,45,1
87,12,4,,,,Y,,,5,1,49,0
88,12,3,,,N,,,,5,2,47,0
89,12,6,,,,,,N,5,2,62,0
90,12,4,,,,N,,,5,2,38,0
91,12,3,,,Y,,,,5,2,54,1
92,12,6,,,,,,N,5,2,58,0
93,12,4,,,,Y,,,5,2,62,1
94,12,3,,,Y,,,,5,1,68,0
95,12,1,Y,,,,,,5,2,56,0
96,12,3,,,Y,,,,5,1,74,0
97,12,5,,,,,N,,5,2,42,1
